recommendation_rank,hcp_id,hcp_name,territory_id,territory_name,hcp_tier,total_net_sales,total_calls,avg_engagement_score,days_since_last_call,segment_label,risk_level,risk_score,revenue_percentile_rank,recency_score,engagement_percentile_rank,prioritization_score,recommended_action
439,HCP0408,Dr. Ethan Sen,T012,Jaipur Rajasthan,Tier 2,1952102.47,31,54.81,0,Low Engagement,Low Risk,35.7,0.23,0.038,0.817,30.5,Monitor low engagement
440,HCP0439,Dr. Brinda Mann,T007,Bengaluru Urban,Tier 1,2181436.0,40,52.88,0,Low Engagement,Low Risk,30.5,0.296,0.038,0.696,30.4,Monitor low engagement
441,HCP0008,Dr. Janaki Handa,T008,Hyderabad Central,Tier 2,2963616.34,32,41.12,4,Low Engagement,Low Risk,48.4,0.486,0.264,0.02,30.3,Monitor low engagement
442,HCP0463,Dr. Xalak Bobal,T007,Bengaluru Urban,Tier 2,2541575.66,39,43.77,5,Low Engagement,Low Risk,42.0,0.396,0.326,0.078,30.2,Monitor low engagement
443,HCP0089,Dr. Avi Ramesh,T005,Delhi NCR,Tier 2,1650499.28,27,49.11,6,Low Engagement,Medium Risk,47.3,0.158,0.384,0.388,29.8,Monitor low engagement
444,HCP0393,Dr. Gagan Grover,T009,Chennai Metro,Tier 2,1378141.95,37,55.0,2,Low Engagement,Low Risk,34.4,0.096,0.155,0.843,29.8,Monitor low engagement
445,HCP0396,Dr. Frado Kibe,T012,Jaipur Rajasthan,Tier 3,1332846.22,41,43.34,16,Low Engagement,Medium Risk,49.9,0.082,0.684,0.066,29.7,Monitor low engagement
446,HCP0404,Dr. Xavier Nanda,T008,Hyderabad Central,Tier 2,2352284.73,32,47.09,4,Low Engagement,Low Risk,43.8,0.344,0.264,0.234,29.6,Monitor low engagement
447,HCP0083,Dr. Matthew Kashyap,T011,Ahmedabad Gujarat,Tier 2,1568666.97,33,51.45,4,Low Engagement,Low Risk,41.5,0.134,0.264,0.603,29.6,Monitor low engagement
448,HCP0428,Dr. Ojas Suri,T008,Hyderabad Central,Tier 2,2277345.84,34,45.59,5,Low Engagement,Low Risk,44.9,0.328,0.326,0.165,29.5,Monitor low engagement
449,HCP0050,Dr. Hemang Desai,T002,Mumbai Metro,Tier 3,2244307.15,45,51.44,0,Low Engagement,Low Risk,29.0,0.32,0.038,0.599,29.3,Monitor low engagement
450,HCP0068,Dr. Jeet Mital,T008,Hyderabad Central,Tier 1,2472548.06,44,45.18,4,Low Engagement,Low Risk,36.9,0.386,0.264,0.133,29.0,Monitor low engagement
451,HCP0080,Dr. Vaishnavi Sengupta,T008,Hyderabad Central,Tier 3,1596788.21,39,40.92,13,Low Engagement,Medium Risk,52.0,0.142,0.622,0.016,28.9,Monitor low engagement
452,HCP0479,Dr. Mason Gola,T011,Ahmedabad Gujarat,Tier 3,1718705.33,37,52.11,2,Low Engagement,Low Risk,36.4,0.176,0.155,0.652,28.8,Monitor low engagement
453,HCP0032,Dr. Xavier Solanki,T008,Hyderabad Central,Tier 3,1090582.21,33,51.06,6,Low Engagement,Low Risk,44.2,0.036,0.384,0.554,28.8,Monitor low engagement
454,HCP0229,Dr. Gauri Bumb,T001,Pune Central,Tier 3,2042650.7,43,52.77,0,Low Engagement,Low Risk,29.4,0.25,0.038,0.692,28.7,Monitor low engagement
455,HCP0178,Dr. Jeremiah Jha,T010,Kolkata East,Tier 2,1928637.72,31,51.16,2,Low Engagement,Low Risk,40.7,0.224,0.155,0.562,28.7,Monitor low engagement
456,HCP0313,Dr. Aishani Sule,T001,Pune Central,Tier 3,1103178.5,61,48.7,2,High Value,Medium Risk,33.6,0.038,0.155,0.364,28.3,Maintain engagement
457,HCP0137,Dr. Bhavna Sarma,T005,Delhi NCR,Tier 2,1536114.96,24,44.08,11,Low Engagement,Medium Risk,55.6,0.13,0.563,0.084,28.1,Monitor low engagement
458,HCP0466,Dr. Darpan Rao,T010,Kolkata East,Tier 3,1960349.49,40,50.42,2,Low Engagement,Low Risk,35.0,0.232,0.155,0.512,28.0,Monitor low engagement
459,HCP0206,Dr. Chakradev Kannan,T002,Mumbai Metro,Tier 3,1652688.99,60,48.05,0,High Value,Medium Risk,31.8,0.162,0.038,0.312,28.0,Maintain engagement
460,HCP0202,Dr. Frado Ben,T010,Kolkata East,Tier 2,2565213.98,36,47.89,1,Low Engagement,Medium Risk,38.3,0.402,0.096,0.294,27.8,Monitor low engagement
461,HCP0385,Dr. Wridesh Ramachandran,T001,Pune Central,Tier 3,2319237.74,39,48.08,2,Low Engagement,Medium Risk,36.9,0.338,0.155,0.319,27.8,Monitor low engagement
462,HCP0105,Dr. Aarna Oak,T009,Chennai Metro,Tier 3,1775398.82,45,46.71,6,Low Engagement,Low Risk,38.6,0.188,0.384,0.218,27.4,Monitor low engagement
463,HCP0100,Dr. Hitesh Sant,T004,Nagpur Vidarbha,Tier 3,1267249.46,49,49.02,7,Low Engagement,Medium Risk,36.6,0.064,0.421,0.381,27.4,Monitor low engagement
464,HCP0131,Dr. Gavin Singhal,T011,Ahmedabad Gujarat,Tier 3,916369.41,48,50.5,6,Low Engagement,Low Risk,35.6,0.014,0.384,0.52,27.4,Monitor low engagement
465,HCP0445,Dr. Mitali Kamdar,T001,Pune Central,Tier 2,2176368.29,42,49.69,1,Low Engagement,Medium Risk,33.3,0.29,0.096,0.439,26.8,Monitor low engagement
466,HCP0094,Dr. Ryan Bahri,T010,Kolkata East,Tier 3,1715422.77,37,52.05,1,Low Engagement,Low Risk,36.2,0.174,0.096,0.646,26.8,Monitor low engagement
467,HCP0344,Dr. Osha Prasad,T008,Hyderabad Central,Tier 3,1625582.69,29,50.07,3,Low Engagement,Medium Risk,44.5,0.152,0.216,0.483,26.4,Monitor low engagement
468,HCP0392,Dr. Darika Saxena,T008,Hyderabad Central,Tier 3,1311122.83,27,39.74,13,Low Engagement,Medium Risk,61.7,0.076,0.622,0.006,26.4,Monitor low engagement
469,HCP0351,Dr. Chaitanya Ratti,T003,Nashik North,Tier 2,2932220.06,36,44.31,1,Low Engagement,Low Risk,41.2,0.476,0.096,0.093,26.3,Monitor low engagement
470,HCP0280,Dr. Kabir Gopal,T004,Nagpur Vidarbha,Tier 3,2151850.49,37,44.19,5,Low Engagement,Low Risk,44.9,0.28,0.326,0.088,26.3,Monitor low engagement
471,HCP0038,Dr. Niharika Sunder,T002,Mumbai Metro,Tier 3,1369703.51,43,54.98,0,Low Engagement,Low Risk,29.3,0.086,0.038,0.84,25.9,Monitor low engagement
472,HCP0144,Dr. Veda Pai,T012,Jaipur Rajasthan,Tier 3,2053091.42,37,44.43,5,Low Engagement,Low Risk,45.1,0.254,0.326,0.098,25.6,Monitor low engagement
473,HCP0072,Dr. Tanay Vaidya,T012,Jaipur Rajasthan,Tier 2,2346398.25,37,45.81,2,Low Engagement,Low Risk,41.1,0.342,0.155,0.172,25.0,Monitor low engagement
474,HCP0389,Dr. Rachana Grewal,T005,Delhi NCR,Tier 3,1592783.79,41,45.83,6,Low Engagement,Low Risk,42.5,0.14,0.384,0.176,24.9,Monitor low engagement
475,HCP0413,Dr. Hemani Bakshi,T005,Delhi NCR,Tier 3,1360597.36,46,51.5,2,Low Engagement,Low Risk,32.7,0.084,0.155,0.608,24.7,Monitor low engagement
476,HCP0130,Dr. Zilmil Sathe,T010,Kolkata East,Tier 3,1642808.78,36,46.47,5,Low Engagement,Low Risk,45.1,0.156,0.326,0.21,24.4,Monitor low engagement
477,HCP0189,Dr. Hardik Contractor,T009,Chennai Metro,Tier 3,2074528.94,42,47.36,2,Low Engagement,Low Risk,36.9,0.256,0.155,0.25,23.6,Monitor low engagement
478,HCP0093,Dr. Inaya Kapur,T009,Chennai Metro,Tier 3,1462224.49,39,42.13,8,Low Engagement,Low Risk,49.2,0.114,0.459,0.038,23.5,Monitor low engagement
479,HCP0312,Dr. Dipta Ghose,T012,Jaipur Rajasthan,Tier 3,1442584.08,38,51.34,1,Low Engagement,Low Risk,37.0,0.112,0.096,0.585,23.4,Monitor low engagement
480,HCP0217,Dr. Aahana Hora,T001,Pune Central,Tier 3,951486.87,46,48.07,6,Low Engagement,Medium Risk,39.1,0.018,0.384,0.315,23.4,Monitor low engagement
481,HCP0437,Dr. Indali Sangha,T005,Delhi NCR,Tier 2,1532162.74,37,41.81,7,Low Engagement,Low Risk,50.6,0.128,0.421,0.026,22.6,Monitor low engagement
482,HCP0303,Dr. Urvi Venkataraman,T003,Nashik North,Tier 2,2017151.64,47,47.45,1,Low Engagement,Medium Risk,34.0,0.248,0.096,0.256,21.6,Monitor low engagement
483,HCP0024,Dr. Wriddhish Bhardwaj,T012,Jaipur Rajasthan,Tier 2,1664632.53,31,46.48,3,Low Engagement,Low Risk,47.2,0.164,0.216,0.212,21.4,Monitor low engagement
484,HCP0058,Dr. Nicholas Goel,T010,Kolkata East,Tier 3,1319156.14,46,48.52,3,Low Engagement,Medium Risk,36.5,0.08,0.216,0.344,21.1,Monitor low engagement
485,HCP0337,Dr. Faras Choudhury,T001,Pune Central,Tier 3,1976633.16,44,47.2,1,Low Engagement,Low Risk,35.7,0.238,0.096,0.244,21.0,Monitor low engagement
486,HCP0442,Dr. Amruta Sachdeva,T010,Kolkata East,Tier 3,1103672.23,41,51.29,1,Low Engagement,Low Risk,35.9,0.04,0.096,0.578,20.8,Monitor low engagement
487,HCP0334,Dr. Jacob Merchant,T010,Kolkata East,Tier 3,1039361.58,36,52.22,0,Low Engagement,Low Risk,38.6,0.03,0.038,0.654,20.2,Monitor low engagement
488,HCP0500,Dr. Advik Bhatia,T008,Hyderabad Central,Tier 3,1480367.18,28,45.39,4,Low Engagement,Low Risk,51.1,0.116,0.264,0.148,19.9,Monitor low engagement
489,HCP0042,Dr. Vansha Thakkar,T006,Gurgaon Corporate,Tier 1,2311318.43,37,44.46,0,Low Engagement,Low Risk,41.9,0.334,0.038,0.1,19.8,Monitor low engagement
490,HCP0175,Dr. Warinder Patil,T007,Bengaluru Urban,Tier 3,958328.19,35,50.0,1,Low Engagement,Medium Risk,42.4,0.02,0.096,0.468,17.9,Monitor low engagement
491,HCP0176,Dr. Darsh Rao,T008,Hyderabad Central,Tier 3,1486641.22,30,42.53,3,Low Engagement,Low Risk,52.8,0.122,0.216,0.045,16.6,Monitor low engagement
492,HCP0079,Dr. Edhitha Savant,T007,Bengaluru Urban,Tier 2,1295264.0,25,44.8,3,Low Engagement,Low Risk,52.6,0.072,0.216,0.119,16.3,Monitor low engagement
493,HCP0456,Dr. Chandani Devan,T012,Jaipur Rajasthan,Tier 3,1373972.49,31,42.65,3,Low Engagement,Low Risk,52.7,0.09,0.216,0.05,15.6,Monitor low engagement
494,HCP0282,Dr. Ekantika Kar,T006,Gurgaon Corporate,Tier 3,1592574.05,38,46.08,0,Low Engagement,Low Risk,42.2,0.138,0.038,0.19,14.7,Monitor low engagement
495,HCP0010,Dr. Janya Gaba,T010,Kolkata East,Tier 3,1231657.14,43,47.16,1,Low Engagement,Low Risk,38.9,0.058,0.096,0.24,14.7,Monitor low engagement
496,HCP0019,Dr. Advay Contractor,T007,Bengaluru Urban,Tier 3,901272.3,38,47.97,0,Low Engagement,Medium Risk,42.0,0.01,0.038,0.298,12.4,Monitor low engagement
497,HCP0092,Dr. Oviya Krishnan,T008,Hyderabad Central,Tier 2,1002352.15,31,47.58,0,Low Engagement,Medium Risk,47.0,0.024,0.038,0.266,12.3,Monitor low engagement
498,HCP0340,Dr. Yochana Sagar,T004,Nagpur Vidarbha,Tier 3,1045279.96,43,45.42,1,Low Engagement,Low Risk,41.3,0.032,0.096,0.15,12.0,Monitor low engagement
499,HCP0318,Dr. Saksham Yohannan,T006,Gurgaon Corporate,Tier 3,781369.32,21,47.86,0,Low Engagement,Medium Risk,49.2,0.002,0.038,0.29,12.0,Monitor low engagement
500,HCP0407,Dr. Chavvi Khurana,T011,Ahmedabad Gujarat,Tier 2,1164856.25,43,46.02,0,Low Engagement,Low Risk,40.0,0.05,0.038,0.183,11.5,Monitor low engagement
